sp,id,file_name,depth,habitat,size,ref,depth_max
Eucrossorhinus dasypogon,756,Eudas_u0.gif,0-50,benthic,120,NA,50
Apristurus brunneus,763,Apbru_u1.gif,0-950,benthic,68,NA,950
Apristurus laurussonii,770,Aplau_u0.gif,560 -1462,benthic,68,NA,1462
Apristurus macrorhynchus,772,Apmac_u0.gif,NA,benthic,66,NA,NA
Apristurus manis,774,Apman_u0.gif,658-1740,benthic,76,NA,1740
Apristurus platyrhynchus,778,Appla_u1.gif,0-759,benthic,80,fb,759
Apristurus profundorum,779,Appro_u0.gif,1300-1600,benthic,54,fb,1600
Apristurus sinensis,783,Apsin_u0.gif,-537,benthic,50,NA,537
Aulohalaelurus labiosus,795,Aulab_u0.gif,0-4,benthic,67,NA,4
Cephaloscyllium laticeps,798,Celat_u0.gif,220,benthic,97,NA,NA
Cephaloscyllium silasi,800,Cesil_u0.gif,250-500,benthic,35,NA,500
Cephaloscyllium ventriosum,802,Ceven_u0.gif,5-457,benthic,110,NA,457
Figaro boardmani,805,Gaboa_u0.gif,128-823,benthic,61,NA,823
Galeus eastmani,806,Gaeas_u0.gif,100-900,benthic,50,NA,900
Galeus melastomus,807,Gamel_u1.gif,55-100,benthic,90,NA,100
Galeus murinus,808,Gamur_u0.gif,475-1200,benthic,63,NA,1200
Galeus polli,811,Gapol_u0.gif,200-720,benthic,42,NA,720
Galeus sauteri,812,Gasau_u0.gif,60-90,benthic,45,NA,90
Bythaelurus canescens,817,Hacan_u0.gif,250-700,benthic,70,fb,700
Bythaelurus dawsoni,818,Hadaw_u0.gif,50-1200,benthic,45,fb,1200
Carcharhinus albimarginatus,858,Caalb_u1.gif,0-800,pelagic,300,NA,800
Carcharhinus amblyrhynchos,861,Caamb_u2.gif,0-280,pelagic,255,NA,280
Carcharhinus brachyurus,864,Cabra_u0.gif,0-360,pelagic,325,NA,360
Carcharhinus falciformis,868,Cafal_u1.gif,0-500,pelagic,330,NA,500
Carcharhinus leucas,873,Caleu_u1.gif,0-150,benthic,340,NA,150
Carcharhinus limbatus,874,Calim_u1.gif,0-30,pelagic,255,NA,30
Carcharhinus melanopterus,877,Camel_u1.gif,0-30,pelagic,200,NA,30
Carcharhinus plumbeus,880,Caplu_u0.gif,0-280,pelagic,249,NA,280
Carcharhinus sorrah,884,Casor_u0.gif,0-36,benthic,177,NA,36
Galeocerdo cuvier,886,Gacuv_u1.gif,0-130,pelagic,910,NA,130
Glyphis gangeticus,887,Glgan_u0.gif,0-15,benthic,204,NA,15
Glyphis glyphis,888,Glgly_u0.gif,0-15,benthic,100,NA,15
Eusphyra blochii,908,Eublo_u0.gif,0-50,benthic,186,NA,50
Ginglymostoma cirratum,2532,Gicir_u1.gif,0-15,benthic,430,NA,15
Alopias superciliosus,2534,Alsup_u0.gif,0-500,pelagic,461,NA,500
Alopias vulpinus,2535,Alvul_u0.gif,0-366,pelagic,549,NA,366
Chiloscyllium griseum,4304,Chgri_u1.gif,0-50,benthic,74,NA,50
Atelomycterus marmoratus,4305,Atmar_u0.gif,0-100,benthic,70,NA,100
Chiloscyllium plagiosum,5120,Chpla_u0.gif,0-50,benthic,95,NA,50
Alopias pelagicus,5891,Alpel_u0.gif,0-152,pelagic,330,NA,152
Brachaelurus waddi,5892,Brwad_u0.gif,0-110,benthic,122,NA,110
Brachaelurus colcloughi,5893,Hecol_u0.gif,0-100,benthic,60,NA,100
Chaenogaleus macrostoma,5896,Chmac_u5.gif,0-60,benthic,100,NA,60
Chiloscyllium indicum,5900,Chind_u0.gif,0-50,benthic,65,NA,50
Chiloscyllium punctatum,5903,Chpun_u3.gif,0-50,benthic,104,NA,50
Furgaleus macki,5924,Fumac_u0.gif,27668,benthic,82,NA,75
Triakis scyllium,5949,Trscy_u0.gif,16-21,benthic,87,NA,21
Carcharhinus tilstoni,15721,Catil_u1.gif,0-150,pelagic,200,fb,150
Etmopterus molleri,23928,Etmol_u0.gif,200-860,pelagic,46,NA,860
Centrophorus atromarginatus,53922,Ceatr_u0.gif,183-450,benthic,87,fb,450
Atelomycterus fasciatus,54004,Atfas_u0.gif,27-122,benthic,45,fb,122
Centrophorus isodon,54130,Ceiso_u0.gif,0-770,benthic,108,fb,770
Chiloscyllium hasseltii,54210,Chhas_j0.gif,0-12,benthic,51,fb,12
Atelomycterus baliensis,62191,Atbal_f0.jpg,0-50,benthic,47,NA,NA
Apristurus melanoasper,62554,Apmel_m0.gif,512-1520,benthic,59,"glésias, S.P., K. Nakaya and M. Stehmann, 2004. Apristurus melanoasper, a new species of deep-water catshark from the North Atlantic (Chondrichthyes: Carcharhiniformes: Scyliorhinidae). Cybium 28(4):345-356.",1520
Atelomycterus marnkalha,63793,Atmar_f0.jpg,11-47,benthic,48,NA,NA
Cephaloscyllium variegatum,64129,Cevar_j0.jpg,114-606,benthic,74,NA,606
Cephaloscyllium hiscosellum,64131,Cehis_m0.jpg,294-420,benthic,52,fb,420
Squatina squatina,NA,Sqsq1.jpg,5-150,benthic,183,NA,150
Squatina australis,NA,Sqaus1.jpg,15-256,benthic,152,NA,256
